Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6165408750	0.5494078994	3.5335624218
0.6165524658	0.5490167141	3.5337724686
0.6165640091	0.5494385362	3.5335459709
0.6165755982	0.5491783619	3.5336856842
0.6165871643	0.5493803620	3.5335772038
0.6165987343	0.5493528247	3.5335919857
0.6166103004	0.5494722724	3.5335278511
0.6166218901	0.5490877628	3.5337343216
0.6166334559	0.5494327545	3.5335490704
0.6166450349	0.5489599109	3.5338029861
0.6166566006	0.5492982268	3.5336213112
0.6166681710	0.5488657951	3.5338535309
0.6166797599	0.5494691730	3.5335295200
0.6166913364	0.5493737459	3.5335807800
0.6167029024	0.5496312380	3.5334424973
0.6167144707	0.5490198731	3.5337707996
0.6167260599	0.5492582917	3.5336427689
0.6167376276	0.5499252081	3.5332846642
0.6167491940	0.5492525101	3.5336458683
0.6167607759	0.5497285128	3.5333902836
0.6167723421	0.5493484139	3.5335943699
0.6167839411	0.5489608049	3.5338025093
0.6167955075	0.5492058992	3.5336709023
0.6168070769	0.5499904752	3.5332496166
0.6168186433	0.5493173003	3.5336110592
0.6168302059	0.5491073132	3.5337238312
0.6168417947	0.5495455265	3.5334885120
0.6168533552	0.5490469337	3.5337562561
0.6168649444	0.5495948195	3.5334620476
0.6168765030	0.5492853522	3.5336282253
0.6168880921	0.5494789481	3.5335242748
0.6168996673	0.5492809415	3.5336306095
0.6169112334	0.5493683815	3.5335836411
0.6169228249	0.5487876534	3.5338954926
0.6169343911	0.5493550897	3.5335907936
0.6169459571	0.5489297509	3.5338191986
0.6169575231	0.5494718552	3.5335280895
0.6169690915	0.5491685867	3.5336909294
0.6169806806	0.5496174693	3.5334498882
0.6169922597	0.5492773652	3.5336325169
0.6170038258	0.5492973328	3.5336217880
0.6170154171	0.5489678979	3.5337986946
0.6170269829	0.5489563346	3.5338048935
0.6170385515	0.5489976406	3.5337827206
0.6170501175	0.5491805673	3.5336844921
0.6170616873	0.5496143699	3.5334515572
0.6170732764	0.5491139889	3.5337202549
0.6170848484	0.5492076874	3.5336699486
0.6170964144	0.5490615964	3.5337483883
0.6171079963	0.5488191843	3.5338785648
0.6171195627	0.5493195653	3.5336098671
0.6171311323	0.5488409400	3.5338668823
0.6171427214	0.5490114093	3.5337753296
0.6171542875	0.5492529273	3.5336456299
0.6171658535	0.5495211482	3.5335016251
0.6171774500	0.5499913692	3.5332491398
0.6171890161	0.5491086245	3.5337231159
0.6172005837	0.5489510298	3.5338077545
0.6172121498	0.5494318604	3.5335495472
0.6172237159	0.5491983294	3.5336749554
0.6172353053	0.5490824580	3.5337371826
0.6172468945	0.5490873456	3.5337345600
0.6172584375	0.5486362576	3.5339767933
0.6172700330	0.5492973328	3.5336217880
0.6172815988	0.5493270755	3.5336058140
0.6172931603	0.5491588116	3.5336961746
0.6173047494	0.5494229794	3.5335543156
0.6173163213	0.5491095185	3.5337226391
0.6173279108	0.5495548844	3.5334835052
0.6173394553	0.5499367118	3.5332784653
0.6173510445	0.5497218370	3.5333938599
0.6173626105	0.5499584675	3.5332667828
0.6173741766	0.5500606298	3.5332119465
0.6173857701	0.5502279997	3.5331220627
0.6173973244	0.5501489639	3.5331645012
0.6174089135	0.5502164960	3.5331282616
0.6174204796	0.5501822829	3.5331466198
0.6174320632	0.5497258306	3.5333917141
0.6174436290	0.5499078631	3.5332939625
0.6174552021	0.5494571924	3.5335359573
0.6174667683	0.5499540567	3.5332691669
0.6174783608	0.5497276187	3.5333907604
0.6174899272	0.5494229794	3.5335543156
0.6175014985	0.5498821139	3.5333077908
0.6175130645	0.5503537059	3.5330545902
0.6175246475	0.5501636267	3.5331566334
0.6175362136	0.5506738424	3.5328826904
0.6175477859	0.5508266091	3.5328006744
0.6175593753	0.5512316227	3.5325832367
0.6175709496	0.5515278578	3.5324242115
0.6175825156	0.5521553755	3.5320873260
0.6175940957	0.5517534614	3.5323030949
0.6176056618	0.5517667532	3.5322959423
0.6176172455	0.5522118211	3.5320570469
0.6176288116	0.5519173145	3.5322151184
0.6176403833	0.5520736575	3.5321311951
0.6176519725	0.5522824526	3.5320191383
0.6176635235	0.5525071621	3.5318984985
0.6176751126	0.5529060364	3.5316843987
0.6176866841	0.5528261065	3.5317273140
