Day fraction since midnight on	photometer (mg/L)	photometer (volts)
0.6845009828	1.614572167	2.994084597
0.6845125499	1.622803927	2.990158558
0.6845241398	1.56479156	3.017903328
0.6845357072	1.53561163	3.031926394
0.6845472744	1.536468506	3.031513929
0.6845588642	1.534380913	3.032518864
0.6845704313	1.515695334	3.041523695
0.6845819985	1.490284324	3.053799629
0.6845935889	1.491935492	3.053000927
0.6846051561	1.519068599	3.039896727
0.6846167229	1.512979507	3.042834044
0.6846283134	1.480589747	3.058492184
0.6846398805	1.456707478	3.070073605
0.6846514473	1.439857006	3.078263521
0.6846630378	1.433718324	3.081250906
0.6846746046	1.439407587	3.078482151
0.6846861948	1.437405944	3.079456091
0.6846977619	1.377614379	3.108648539
0.6847093293	1.368387699	3.113170624
0.6847209195	1.363910317	3.115366697
0.6847324863	1.358510375	3.11801672
0.6847440538	1.339916229	3.127153873
0.6847556209	1.31695044	3.138465405
0.6847672107	1.307810068	3.14297533
0.6847787781	1.284489751	3.15450263
0.6847903684	1.277198196	3.158113003
0.6848019355	1.272295833	3.160542011
0.6848135023	1.271391988	3.16099
0.6848250928	1.271238446	3.161066055
0.6848366596	1.267050862	3.163142204
