Day fraction since midnight on	photometer (mg/L)	(volts)
0.5951518379	24.3939724	-0.9651455283
0.5951634039	24.34383202	-0.9632260799
0.5951749933	24.284132	-0.9609267116
0.5951865596	24.29051209	-0.9611731768
0.5951981262	24.38066483	-0.9646371007
0.5952097156	24.38031006	-0.9646235704
0.595221282	24.30374718	-0.961683929
0.5952328712	24.24399376	-0.9593722224
0.5952444375	24.22412682	-0.9586002827
0.5952560038	24.24880791	-0.9595590234
0.5952675932	24.31318474	-0.9620476365
0.5952791594	24.25653076	-0.9598585367
0.5952907256	24.19394875	-0.9574244022
0.5953023148	24.1383667	-0.9552482963
0.5953138814	24.05290222	-0.9518759847
0.5953254473	24.01389503	-0.9503261447
0.5953370371	23.96386147	-0.9483283758
0.595348603	23.96110344	-0.9482179284
0.5953601696	23.97932625	-0.9489470124
0.5953717587	24.04130936	-0.9514160752
0.595383325	24.04333687	-0.9514965415
0.5953948916	23.99648476	-0.9496322274
0.595406481	23.97678375	-0.9488453865
0.5954180472	23.92838669	-0.9469051957
0.5954296366	23.90189743	-0.9458388686
0.5954412029	23.93065262	-0.9469962716
0.5954527691	23.94832993	-0.9477059245
0.5954643355	23.82938576	-0.9429036975
0.5954759248	23.77930832	-0.9408628941
0.5954874911	23.7524128	-0.9397621155
0.5954990574	23.73683739	-0.9391231537
0.5955106468	23.76939392	-0.9404575229
0.5955222131	23.58395004	-0.9327921271
0.5955338025	23.44507027	-0.9269472957
0.5955453688	23.3530426	-0.9230244756
0.595556935	23.19279289	-0.9160972834
0.5955685013	23.02693176	-0.9087966681
0.5955800907	22.82498932	-0.8997247219
0.5955916569	22.91503906	-0.9037951231
0.5956032233	23.06683922	-0.9105655551
0.5956148126	23.00770569	-0.9079416394
0.5956263789	22.91067505	-0.903598845
0.5956379683	22.89149094	-0.9027346373
0.5956495346	22.93839455	-0.9048442841
0.5956611008	22.99002457	-0.9071537852
0.5956726671	23.00500488	-0.9078214169
0.5956842565	23.03027725	-0.9089452028
0.5956958228	22.88923073	-0.9026327133
0.5957073891	22.69244766	-0.8936591744
0.5957189785	22.52643585	-0.8859350085
0.5957305447	22.41948509	-0.880883038
0.595742111	22.42885208	-0.8813278675
0.5957537004	22.3931179	-0.8796282411
0.5957652667	22.33061028	-0.8766390681
0.595776833	22.41086197	-0.8804730773
0.5957884223	22.4086647	-0.8803685904
0.5957999886	22.23299408	-0.8719292283
0.5958115549	22.14773941	-0.8677739501
0.5958231443	22.12243271	-0.8665328622
0.5958347337	22.1400032	-0.8673949242
0.5958462769	22.05991936	-0.8634522557
0.5958578662	21.96010399	-0.8584890366
0.5958694325	21.84843063	-0.8528706431
0.5958809989	21.71062469	-0.8458408713
0.5958925882	21.71199608	-0.8459113836
0.5959041546	21.67745972	-0.8441329598
0.5959157207	21.51901245	-0.8358861208
0.5959273098	21.33648682	-0.8262047768
0.5959388764	21.19976234	-0.818823278
0.5959504427	21.10855293	-0.8138365149
0.5959620321	21.01609802	-0.8087299466
0.5959735984	21.03635979	-0.8098535538
0.5959851647	21.04052162	-0.8100839853
0.595996754	21.14034462	-0.8155804873
0.5960083203	21.12667847	-0.8148315549
0.5960198866	21.15967178	-0.8166375756
0.596031476	21.1849308	-0.8180158138
0.5960430422	21.31585503	-0.8250980377
0.5960546085	21.28203583	-0.8232785463
0.5960661979	21.327425	-0.8257189989
0.5960777869	21.08584213	-0.8125870228
0.5960893305	20.75371552	-0.7939491868
0.5961009199	20.53623199	-0.7813676
0.5961124862	20.62381172	-0.7864707112
0.5961240525	20.65120316	-0.788056612
0.5961356418	20.69861221	-0.790790081
0.5961472081	20.90646935	-0.802606523
0.5961587744	20.95956612	-0.8055815697
0.5961703637	20.79373741	-0.7962316275
0.59618193	20.79231834	-0.7961509228
0.5961934963	20.89037895	-0.8017014861
0.5962050857	20.82627678	-0.7980799079
0.596216652	20.53435135	-0.7812575102
0.5962282413	20.2278862	-0.763001442
0.5962398076	20.19205475	-0.76082623
0.5962513739	20.28083611	-0.7662001848
0.5962629633	20.32203865	-0.7686762214
0.5962745296	20.20430183	-0.7615706921
0.5962860959	20.1182518	-0.75631845
0.5962976852	20.33017159	-0.7691636682
0.5963092515	20.34532166	-0.7700704932
0.5963208178	20.27469635	-0.7658302784
0.5963324072	20.06561089	-0.7530806661
0.5963439735	19.87000656	-0.7408825755
0.5963555398	19.77740097	-0.735014677
0.5963671291	19.66175461	-0.727601707
0.5963786954	19.80747986	-0.7369272113
0.5963902617	19.88726234	-0.741969347
0.5964018511	20.01268768	-0.7498063445
0.5964134174	20.06258011	-0.7528936863
0.5964249837	19.71681023	-0.7311425805
0.596436573	19.47677422	-0.7155448794
0.5964481393	19.28311729	-0.7026549578
0.5964597284	19.01259804	-0.6841791868
0.596471295	18.98041344	-0.6819438338
0.5964828613	18.9552784	-0.680192709
0.5964944276	18.95888519	-0.6804442406
0.596506017	18.89985275	-0.6763138175
0.5965175833	18.84905624	-0.6727378964
0.5965291495	18.95048904	-0.6798583865
0.5965407389	19.12975502	-0.6922487617
0.5965523051	19.07997513	-0.6888327003
0.5965638714	19.05404663	-0.687046051
0.5965754608	18.88790321	-0.6754744053
0.5965870268	18.63044548	-0.6571164131
0.5965985934	18.41983604	-0.6417043805
0.5966101828	18.15650558	-0.6219209433
0.596621749	18.08956146	-0.6167988777
0.5966333153	18.14666176	-0.6211701632
0.5966449047	18.1212883	-0.6192311049
0.596656471	18.07550621	-0.6157186031
0.5966680369	17.93490219	-0.6048188806
0.5966796267	17.77302551	-0.5920580626
0.596691193	17.90089607	-0.6021571755
0.5967027823	17.93906975	-0.6051444411
0.5967143486	17.97786522	-0.6081674695
0.5967259149	17.98817635	-0.6089687943
0.5967374812	17.91543198	-0.6032961607
0.5967490705	17.76493645	-0.5914143324
0.5967606368	17.51311874	-0.5710840225
0.5967722031	17.36699295	-0.5590237975
0.5967837925	17.4754467	-0.5679935217
0.5967953588	17.48751831	-0.568985343
0.5968069251	17.42985535	-0.5642360449
0.5968185144	17.17933083	-0.5432462096
0.5968300807	16.97603226	-0.5257791877
0.596841647	16.88080597	-0.5174612999
0.5968532364	16.85169029	-0.5149003863
0.5968648027	16.85429573	-0.5151299834
0.596876369	16.73488808	-0.5045437217
0.5968879584	16.70820618	-0.5021589398
0.5968995246	16.71870232	-0.503098011
0.5969110909	16.76051903	-0.5068278909
0.5969226803	16.61593437	-0.4938575327
0.5969342466	16.46904182	-0.4804653823
0.5969458129	16.48799515	-0.4822057188
0.5969574022	16.42467308	-0.4763773382
0.5969689685	16.48249626	-0.4817011952
0.5969805348	16.44180679	-0.4779583514
0.5969921242	16.30459404	-0.4652117789
0.5970037135	16.05522537	-0.4415439367
0.5970152568	15.8880043	-0.4253023565
0.5970268461	15.67983055	-0.4046577811
0.5970384121	15.5860815	-0.395203948
0.5970499787	15.51778507	-0.3882547319
0.5970615681	15.50834179	-0.3872896731
0.5970731343	15.48821926	-0.3852300048
0.5970847006	15.39260292	-0.3753797412
0.59709629	15.39949131	-0.3760928512
0.5971078563	15.36201477	-0.3722064793
0.5971194226	15.36716843	-0.3727419674
0.5971310121	15.34949684	-0.3709048033
0.5971425782	15.36569023	-0.3725883663
0.5971541445	15.58149719	-0.3947392106
0.5971657339	15.7550106	-0.412168473
0.5971773002	15.71007442	-0.4076867998
0.5971888895	15.58825016	-0.39542377
0.5972004558	15.60625362	-0.3972464502
0.5972120221	15.54594231	-0.3911261559
0.5972236346	15.54078579	-0.3906009495
0.5972351778	15.38627434	-0.3747241497
0.5972467672	15.1346674	-0.3482809961
0.5972583334	15.04347897	-0.3385137618
0.5972698998	14.93196964	-0.3264349997
0.597281466	14.73783398	-0.305046469
0.5972930554	14.7808609	-0.3098266721
0.5973046217	14.7028656	-0.3011447787
0.597316188	14.61665916	-0.2914609611
0.5973277773	14.60072613	-0.2896610498
0.5973393436	14.43104935	-0.2702942193
0.5973509099	14.38226891	-0.2646587193
0.5973624993	14.41610718	-0.2685712874
0.5973740655	14.47256756	-0.2750668824
0.5973856551	14.46806049	-0.2745497823
0.597397221	14.37109089	-0.2633630633
0.5974087874	14.23460674	-0.2474125773
0.5974203538	14.1745491	-0.2403170168
0.5974319429	14.09011364	-0.2302610278
0.5974435091	14.2060442	-0.2440439463
0.5974550758	14.21631145	-0.2452560514
0.5974666651	14.03107548	-0.2231736183
0.5974782311	13.91619778	-0.2092491239
0.5974898208	13.8180151	-0.1972068697
0.5975013986	13.60119057	-0.1701441258
0.5975129533	13.58254242	-0.1677859873
0.5975245197	13.73016262	-0.1863200665
0.597536109	13.89168167	-0.206254527
0.5975476753	13.80668736	-0.1958090514
0.5975592647	13.67877483	-0.1799025238
0.597570831	13.68147755	-0.1802409589
0.5975823972	13.66132545	-0.1777151078
0.5975939632	13.69244862	-0.1816138029
0.5976055529	13.63259411	-0.1741041243
0.5976171192	13.51600266	-0.1593321264
0.5976286855	13.53049755	-0.1611790955
0.5976402748	13.43471622	-0.1489197463
0.5976518642	13.37309837	-0.1409640163
0.5976634074	13.52555084	-0.1605490893
0.5976749968	13.62850571	-0.173589319
0.5976865631	13.48615265	-0.1555193812
