Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6496630604	392	4.786669731	1.718027949
0.6496746502	393	4.785882473	1.718292236
0.6496861934	394	4.745643616	1.731830716
0.6496977826	395	4.739084721	1.734043121
0.649709349	396	4.750237465	1.730281949
0.6497209159	397	4.707040787	1.744875431
0.6497324821	398	4.701889038	1.746620655
0.6497440601	399	4.650574684	1.764057636
0.6497556265	400	4.627140522	1.772053838
0.6497672159	401	4.63092804	1.770760059
0.6497788054	402	4.636824131	1.768747091
0.6497903487	403	4.589961529	1.784782767
0.6498019381	404	4.580144405	1.788152456
0.6498135276	405	4.577551365	1.789043188
0.6498250937	406	4.577289581	1.789133191
0.6498366485	407	4.534185886	1.803977132
0.6498482383	408	4.522765636	1.807922006
0.6498598047	409	4.521940231	1.808207154
0.6498713708	410	4.488795757	1.819685459
0.6498829606	411	4.457178593	1.830673933
0.649894527	412	4.434773922	1.838484168
0.649906093	413	4.410096169	1.847109079
0.6499176825	414	4.402263165	1.849851728
0.6499292492	415	4.35949564	1.864868283
0.6499408156	416	4.334052086	1.873835802
0.6499524048	417	4.341094017	1.871351361
0.6499639714	418	4.322841644	1.8777951
0.6499755379	419	4.301992416	1.885171413
0.6499871273	420	4.264744282	1.898392081
0.6499986934	421	4.265589714	1.898091435
0.6500102601	422	4.264640331	1.898429155
0.6500218495	423	4.268809795	1.89694643
0.6500334159	424	4.209074974	1.918253303
0.6500449824	425	4.190792561	1.924802661
0.6500565718	426	4.201774597	1.920866966
0.6500681382	427	4.184205055	1.927165747
0.6500797046	428	4.166647911	1.933472514
0.650091294	429	4.17013073	1.932220459
0.6501028604	430	4.153172493	1.938321233
0.6501144269	431	4.116952419	1.951390266
0.6501260163	432	4.113556385	1.952618361
0.6501375827	433	4.122920513	1.949233294
0.6501491722	434	4.099510193	1.957702518
0.6501607386	435	4.085407257	1.962815285
0.6501723277	436	4.059567928	1.972203493
0.6501838713	437	4.050343514	1.975561619
0.6501954609	438	4.051812649	1.975026488
0.6502070503	439	4.03468895	1.981268406
0.6502186167	440	4.031060219	1.982592583
0.650230183	441	4.016787052	1.987806559
0.6502417494	442	4.001997471	1.993217826
0.6502533159	443	3.980067492	2.001257896
0.650264905	444	3.978721857	2.0017519
0.6502764717	445	3.950342417	2.012187243
0.6502880611	446	3.934349775	2.01808238
0.6502996275	447	3.896379471	2.032120705
0.6503111939	448	3.839748621	2.053168297
0.6503227603	449	3.837011337	2.054188967
0.6503343498	450	3.787755966	2.072608709
0.6503459394	451	3.78663516	2.073029041
0.6503574823	452	3.765180826	2.081084728
0.650369072	453	3.75842309	2.083626032
0.6503806385	454	3.772661924	2.078273535
0.6503922048	455	3.757340193	2.084033489
0.6504037943	456	3.73024416	2.094243765
0.6504153604	457	3.710303068	2.101777554
0.6504269271	458	3.696381331	2.107047081
0.6504385162	459	3.672246218	2.116201878
0.6504500826	460	3.669997215	2.117056131
0.6504616492	461	3.666210175	2.118495226
0.6504732388	462	3.65376997	2.123226643
0.6504848049	463	3.631247282	2.131809473
0.6504963716	464	3.601738215	2.143087149
0.650507961	465	3.581706047	2.150763989
0.6505195274	466	3.576111555	2.152910948
0.6505310938	467	3.545088291	2.164840937
0.6505426834	468	3.549114704	2.163290262
0.6505542497	469	3.531809807	2.169959784
0.6505658161	470	3.516662598	2.175808191
0.6505774055	471	3.530527592	2.170454502
0.650588995	472	3.514634848	2.176591873
0.6506005611	473	3.487856865	2.186957359
0.6506121278	474	3.467389584	2.194900751
0.6506237173	475	3.463089943	2.196571827
