Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6477910100	33.5740280151	-1.1850259304
0.6478025764	33.6515007019	-1.1860901117
0.6478141504	33.7078590393	-1.1868585348
0.6478257264	33.7556800842	-1.1875067949
0.6478373051	33.8144569397	-1.1882989407
0.6478488644	33.8824195862	-1.1892083883
0.6478604482	33.9285163879	-1.1898213625
0.6478720209	33.9945182800	-1.1906936169
0.6478836292	34.0426406860	-1.1913255453
0.6478951767	34.0959014893	-1.1920210123
0.6479067500	34.1356887817	-1.1925379038
0.6479183315	34.1966018677	-1.1933248043
0.6479299052	34.2338600159	-1.1938035488
0.6479414741	34.2974243164	-1.1946157217
0.6479530505	34.3401641846	-1.1951586008
0.6479646209	34.3869857788	-1.1957503557
0.6479761940	34.4329452515	-1.1963282824
0.6479877874	34.4871063232	-1.1970055103
0.6479993287	34.5452270508	-1.1977277994
0.6480109158	34.5877685547	-1.1982535124
0.6480224860	34.6525993347	-1.1990499496
0.6480340633	34.6739349365	-1.1993107796
0.6480456360	34.7492103577	-1.2002261877
0.6480572084	34.7897987366	-1.2007166147
0.6480687749	34.8383445740	-1.2013002634
0.6480803597	34.8816032410	-1.2018177509
0.6480919339	34.9540557861	-1.2026789188
0.6481035113	34.9739151001	-1.2029137611
0.6481150824	35.0234336853	-1.2034970522
0.6481266589	35.0840873718	-1.2042071819
0.6481382246	35.1177940369	-1.2045997381
0.6481498009	35.1708106995	-1.2052142620
0.6481613741	35.2364349365	-1.2059699297
0.6481729431	35.2546882629	-1.2061791420
0.6481845417	35.3092918396	-1.2068024874
0.6481960964	35.3360862732	-1.2071069479
0.6482076760	35.4016799927	-1.2078485489
0.6482192531	35.4399528503	-1.2082787752
0.6482308232	35.4982833862	-1.2089309692
0.6482423983	35.5161743164	-1.2091301680
0.6482539597	35.5855903625	-1.2098993063
0.6482655496	35.6256523132	-1.2103404999
0.6482771165	35.6745147705	-1.2108759880
0.6482887068	35.7122993469	-1.2112880945
0.6483002731	35.7584228516	-1.2117887735
0.6483118512	35.7998237610	-1.2122360468
0.6483234269	35.8382720947	-1.2126495838
0.6483349956	35.8799896240	-1.2130962610
0.6483465533	35.9454154968	-1.2137926817
0.6483581449	35.9668502808	-1.2140197754
0.6483697201	36.0307121277	-1.2146930695
0.6483812913	36.0381240845	-1.2147709131
0.6483928637	36.1003990173	-1.2154223919
0.6484044574	36.1267623901	-1.2156968117
0.6484160088	36.1752777100	-1.2161997557
0.6484275854	36.1850357056	-1.2163006067
